epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3893.15,2.08699,0.99583,0.91918,0.46765,0.17869,0.17613,0.08233,2.25733,1.05771,0.93076,0.0004456,0.0004456,0.0004456
58,3938.86,2.08849,0.99184,0.91782,0.35021,0.16245,0.17923,0.0816,2.28813,1.11891,0.92467,0.0004357,0.0004357,0.0004357
59,3982.28,2.06132,0.97571,0.91514,0.31821,0.1568,0.17487,0.08349,2.20055,1.10816,0.92709,0.0004258,0.0004258,0.0004258
60,4026.27,2.10169,0.99668,0.91928,0.55708,0.15873,0.18176,0.08871,2.15134,1.07217,0.92282,0.0004159,0.0004159,0.0004159
61,4072.82,2.1214,1.00499,0.91863,0.29418,0.16692,0.1729,0.08095,2.28943,1.09574,0.93099,0.000406,0.000406,0.000406
62,4120.11,2.00519,0.94411,0.91072,0.34216,0.16548,0.1795,0.08676,2.1961,1.03407,0.93259,0.0003961,0.0003961,0.0003961
63,4166.96,2.07058,0.97654,0.91852,0.52689,0.16573,0.18704,0.09054,2.21047,1.05229,0.93567,0.0003862,0.0003862,0.0003862
64,4213.96,2.03277,0.95202,0.91327,0.31817,0.16846,0.18241,0.08976,2.16933,1.03894,0.92848,0.0003763,0.0003763,0.0003763
65,4261.13,2.03435,0.96232,0.91518,0.53468,0.16755,0.18576,0.09264,2.18415,1.04107,0.93566,0.0003664,0.0003664,0.0003664
66,4308.19,1.98373,0.93617,0.91117,0.69768,0.16657,0.18818,0.09075,2.14907,1.02423,0.93306,0.0003565,0.0003565,0.0003565
67,4355.2,2.07009,0.96785,0.915,0.37696,0.17264,0.18593,0.0887,2.1895,1.06293,0.92833,0.0003466,0.0003466,0.0003466
68,4402.21,2.06545,0.97312,0.91455,0.32731,0.16949,0.18222,0.0882,2.1549,1.0327,0.92762,0.0003367,0.0003367,0.0003367
